pub_doi,ds_doi,ds_short_name,ds_title,pub_title,pub_journal,pub_year,pub_keywords
10.3390/rs13040780,10.5067/MODIS/MCD64A1.006,MCD64A1,MODIS/Terra+Aqua Direct Broadcast Burned Area Monthly L3 Global 500m SIN Grid V006,A framework for multi-dimensional assessment of wildfire disturbance severity from remotely sensed ecosystem functioning attributes,,2021,
10.3390/rs13040780,10.5067/MODIS/MOD09A1.006,MOD09A1,MODIS/Terra Surface Reflectance 8-Day L3 Global 500m SIN Grid V006,A framework for multi-dimensional assessment of wildfire disturbance severity from remotely sensed ecosystem functioning attributes,,2021,
10.3390/rs13040780,10.5067/MODIS/MOD11A2.006,MOD11A2,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V006,A framework for multi-dimensional assessment of wildfire disturbance severity from remotely sensed ecosystem functioning attributes,,2021,
10.1175/JAMC-D-13-0270.1,10.5067/MODIS/MCD12Q1.006,MCD12Q1,MODIS/Terra+Aqua Land Cover Type Yearly L3 Global 500m SIN Grid V006,A global land cover climatology using MODIS data,,,
10.1029/2018JC014614,10.5067/CCF25-01AMS,,Cross-Calibrated Multi-Platform Ocean Surface Wind Vector L2.5 First-Look AMSR-E Microwave Analyses,Multidecadal wind variability drives temperature shifts on the Agulhas Bank,Journal of Geophysical Research: Oceans,2019,
10.1029/2018JC014614,10.5067/CCF25-01F08,,Cross-Calibrated Multi-Platform Ocean Surface Wind Vector L2.5 First-Look SSM/I-F08 Microwave Analyses,Multidecadal wind variability drives temperature shifts on the Agulhas Bank,Journal of Geophysical Research: Oceans,2019,
10.1029/2018JC014614,10.5067/CCF25-01F10,,Cross-Calibrated Multi-Platform Ocean Surface Wind Vector L2.5 First-Look SSM/I-F10 Microwave Analyses,Multidecadal wind variability drives temperature shifts on the Agulhas Bank,Journal of Geophysical Research: Oceans,2019,
10.1029/2018JC014614,10.5067/CCF25-01F11,,Cross-Calibrated Multi-Platform Ocean Surface Wind Vector L2.5 First-Look SSM/I-F11 Microwave Analyses,Multidecadal wind variability drives temperature shifts on the Agulhas Bank,Journal of Geophysical Research: Oceans,2019,
10.1029/2018JC014614,10.5067/CCF25-01F13,,Cross-Calibrated Multi-Platform Ocean Surface Wind Vector L2.5 First-Look SSM/I-F13 Microwave Analyses,Multidecadal wind variability drives temperature shifts on the Agulhas Bank,Journal of Geophysical Research: Oceans,2019,
10.1029/2018JC014614,10.5067/CCF25-01F14,,Cross-Calibrated Multi-Platform Ocean Surface Wind Vector L2.5 First-Look SSM/I-F14 Microwave Analyses,Multidecadal wind variability drives temperature shifts on the Agulhas Bank,Journal of Geophysical Research: Oceans,2019,
10.1029/2018JC014614,10.5067/CCF25-01F15,,Cross-Calibrated Multi-Platform Ocean Surface Wind Vector L2.5 First-Look SSM/I-F15 Microwave Analyses,Multidecadal wind variability drives temperature shifts on the Agulhas Bank,Journal of Geophysical Research: Oceans,2019,
10.1029/2018JC014614,10.5067/CCF25-01F17,,Cross-Calibrated Multi-Platform Ocean Surface Wind Vector L2.5 First-Look SSMIS-F17 Microwave Analyses,Multidecadal wind variability drives temperature shifts on the Agulhas Bank,Journal of Geophysical Research: Oceans,2019,
10.1029/2018JC014614,10.5067/CCF25-01TMI,,Cross-Calibrated Multi-Platform Ocean Surface Wind Vector L2.5 First-Look TMI Microwave Analyses,Multidecadal wind variability drives temperature shifts on the Agulhas Bank,Journal of Geophysical Research: Oceans,2019,
10.1029/2018JC014614,10.5067/CCF25-01WSC,,Cross-Calibrated Multi-Platform Ocean Surface Wind Vector L2.5 First-Look WindSat Microwave Analyses,Multidecadal wind variability drives temperature shifts on the Agulhas Bank,Journal of Geophysical Research: Oceans,2019,
10.1029/2018JC014614,10.5067/CCF30-01XXX,,Cross-Calibrated Multi-Platform Ocean Surface Wind Vector L3.0 First-Look Analyses,Multidecadal wind variability drives temperature shifts on the Agulhas Bank,Journal of Geophysical Research: Oceans,2019,
10.1029/2018JC014614,10.5067/CCF35-01AD5,,Cross-Calibrated Multi-Platform Ocean Surface Wind Vector L3.5A Pentad First-Look Analyses,Multidecadal wind variability drives temperature shifts on the Agulhas Bank,Journal of Geophysical Research: Oceans,2019,
10.1029/2018JC014614,10.5067/CCF35-01AM1,,Cross-Calibrated Multi-Platform Ocean Surface Wind Vector L3.5A Monthly First-Look Analyses,Multidecadal wind variability drives temperature shifts on the Agulhas Bank,Journal of Geophysical Research: Oceans,2019,
10.1029/2018JC014614,10.5067/GRJPL-L1B03,,GRACE LEVEL 1B JPL RELEASE 3.0,Multidecadal wind variability drives temperature shifts on the Agulhas Bank,Journal of Geophysical Research: Oceans,2019,
10.1038/s43247-021-00314-4,10.5067/TELND-3AJ06,,JPL TELLUS GRACE Level-3 Monthly LAND Water-Equivalent-Thickness Surface-Mass Anomaly Release 6.0 in netCDF/ASCII/Geotiff Formats,Amazon methane budget derived from multi-year airborne observations highlights regional variations in emissions,,,
10.3390/ijgi10110778,10.5067/MODIS/MOD09GA.006,,MODIS/Terra Surface Reflectance Daily L2G Global 1km and 500m SIN Grid V006,Assessing Potential Climatic and Human Pressures in Indonesian Coastal Ecosystems Using a Spatial Data-Driven Approach,,,
10.3390/ijgi10110778,10.5067/MODIS/MOD11A2.006,,MODIS/Terra Land Surface Temperature/Emissivity 8-Day L3 Global 1km SIN Grid V006,Assessing Potential Climatic and Human Pressures in Indonesian Coastal Ecosystems Using a Spatial Data-Driven Approach,,,
10.3390/ijgi10110778,10.5067/MODIS/MOD13A2.006,,MODIS/Terra Vegetation Indices 16-Day L3 Global 1km SIN Grid V006,Assessing Potential Climatic and Human Pressures in Indonesian Coastal Ecosystems Using a Spatial Data-Driven Approach,,,
10.1016/j.advwatres.2021.104093,10.5067/MODIS/MOD16A2.006,,MODIS/Terra Net Evapotranspiration 8-Day L4 Global 500m SIN Grid V006,Assessing the potential value of the regionalised input constraint indices for constraining hydrological model simulations in the Congo River Basin,,,
10371/176088,10.5067/Aura/OMI/DATA3002,,OMI/Aura TOMS-Like Ozone and Radiative Cloud Fraction Daily L3 Global 0.25x0.25 deg,Bayesian regression using non-parametric modeling of Fourier coefficients and its applications,,,
10371/176088,10.5067/Aura/OMI/DATA3007,,OMI/Aura NO2 Cloud-Screened Total and Tropospheric Column L3 Global Gridded 0.25 degree x 0.25 degree V3 (OMNO2d),Bayesian regression using non-parametric modeling of Fourier coefficients and its applications,,,
10371/176088,10.5067/Aura/OMI/DATA2016,,OMI/Aura Formaldehyde (HCHO) Total Column Global 0.25deg Lat/Lon Grid,Bayesian regression using non-parametric modeling of Fourier coefficients and its applications,,,
10371/176088,10.5067/Aura/OMI/DATA2025,,OMI/Aura Ozone (O3) Total Column Daily L2 Global 0.25 deg Lat/Lon Grid,Bayesian regression using non-parametric modeling of Fourier coefficients and its applications,,,
10371/176088,10.5067/Aura/OMI/DATA3008,,OMI/Aura Sulfur Dioxide (SO2) Total Column Daily L3 Best Pixel Global 0.25deg Lat/Lon Grid,Bayesian regression using non-parametric modeling of Fourier coefficients and its applications,,,
10.1109/AGERS53903.2021.9617448,10.5067/GPM/IMERGDF/DAY/06,,GPM IMERG Final Precipitation L3 1 day 0.1 degree x 0.1 degree V06,Characteristics of rainfall over Jakarta and its surroundings observed  by Global Precipitation Measurement (GPM)-IMERG data,,,
static/5d8a770ae5560358911d081f/t/6151ec83b021c549abfc8003/1632758916751/2021Spring_MA_Cincinnati%26CovingtonUrban_TechPaper_FD-final.pdf,10.5067/ECOSTRESS/ECO3ETPTJPL.001,,ECOSTRESS Evapotranspiration PT-JPL Daily L3 Global 70m V001,Cincinnati & Covington Urban Development.,,,
static/5d8a770ae5560358911d081f/t/6151ec83b021c549abfc8003/1632758916751/2021Spring_MA_Cincinnati%26CovingtonUrban_TechPaper_FD-final.pdf,10.5067/ECOSTRESS/ECO2LSTE.001,,ECOSTRESS Land Surface Temperature and Emissivity Daily L2 Global 70m V001,Cincinnati & Covington Urban Development.,,,
10.1029/2021GC009658,10.5067/AQUA/MODIS/L3M/KD/2018,,Aqua/MODIS Level-3 Mapped Downwelling Diffuse Attenuation Coefficient Data Version 2018,Controls on Alkenone Carbon Isotope Fractionation in the Modern Ocean,,,
