doi,location,geocode,latitude,longitude
10.1029/2008WR007042,Canada,Canada,61.0666922,-107.991707
10.1515/geo-2019-0076,China,中国,35.000074,104.999927
10.1016/j.rse.2012.10.019,Athabasca River,"Athabasca River, T9S 1H3, Canada",55.1980385,-113.8700509
10.1016/j.rse.2014.07.017,Peninsula Atlantic,"Peninsula Expressway, Tradepoint Atlantic, Baltimore County, Maryland, 21219, United States",39.2361703,-76.4733526
10.1016/j.dsr2.2013.07.023,North Pacific,"North Pacific, Port Edward, North Coast Regional District, British Columbia, Canada",54.1944325,-130.2241153
10.1029/1999JD900433,Canada,Canada,61.0666922,-107.991707
10.1016/j.uclim.2014.04.005,Texas,"Texas, United States",31.16857,-99.683001
10.1016/j.geodrs.2017.02.001,Qinghai,"青海省, 中国",35.40709525,95.95211573
10.1007/s00382-015-2507-3,Mediterranean,"Mediterranean, İskele, Kuzey Kıbrıs Türk Cumhuriyeti, Κύπρος - Kıbrıs",35.25570135,33.90401195
10.1002/2016JC011647,the Southern Hemisphere,"Europäische Südsternwarte, 2, Karl-Schwarzschild-Straße, Hochschul- und Forschungszentrum, Garching bei München, Landkreis München, Bayern, 85748, Deutschland",48.25962725,11.67131622
10.1080/01431160500033476,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1002/2013JC009424,Gulf of Mexico,Golfo de México,24.4870296,-89.53632076
10.1007/s12524-018-0769-z,Shaanxi,"陕西省, 中国",35.64619205,109.5610737
10.1080/01431161.2018.1430913,North America,North America,51.0000002,-109
10.1175/JHM-D-18-0262.1,Canada,Canada,61.0666922,-107.991707
10.3390/rs9111117,Upper Guinean,"Upper Guinean forests, Sefwi-Wiawso Municipal District, Western North Region, Ghana",6.35,-2.61
10.1175/JHM477.1,Africa,Africa,11.5024338,17.7578122
10.1016/j.rse.2019.111429,Rome,"Roma, Roma Capitale, Lazio, 00100, Italia",41.8933203,12.4829321
10.3390/drones3010018,High Mountain Asia,"Mountain Asia, San Antonio, Bexar County, Texas, 78233, United States",29.577084,-98.359209
10.1016/j.jag.2019.01.018,Africa,Africa,11.5024338,17.7578122
10.5194/hess-22-1649-2018,SMAP,"SMAP, 110, Rue des Genêts, Beausoleil, Les Chauveaux, Pons, Jonzac, Charente-Maritime, Nouvelle-Aquitaine, France métropolitaine, 17800, France",45.5748055,-0.5639011786
10.1016/j.rse.2015.11.015,the Gulf Coast,"The Rise, Gulf Harbour, Hibiscus Coast, Hibiscus and Bays, Auckland, 0930, New Zealand / Aotearoa",-36.6111302,174.7974989
10.3390/rs12020328,Southern China,"China, Nkasi, Rukwa, Southern Highlands Zone, Tanzania",-7.7757509,31.1014817
10.1175/JCLI-D-14-00586.1,PV,"Pavia, Lombardia, Italia",45.03685465,9.137825083
10.1016/j.dsr2.2013.11.007,Indian Ocean,Indian Ocean,-9.9999999,69.9999999
10.1073/pnas.1720064115,the Pacific Northwest,"Pacific Northwest College of Art - Schnitzer Center, 511, Northwest Broadway, Pearl District, Portland, Multnomah County, Oregon, 97209, United States",45.5270896,-122.678128
10.1016/j.rse.2019.111540,Hong Kong,"香港島 Hong Kong Island, 香港 Hong Kong, 000000, 中国",22.2793278,114.1628131
10.5194/isprsarchives-XL-8-1491-2014,India,India,22.3511148,78.6677428
10.1002/2013JC008981,North Atlantic,"North Atlantic, 230, Route 230, Bonavista, Newfoundland, Newfoundland and Labrador, A0C 1B0, Canada",48.64154835,-53.10331969
10.1007/s10040-017-1612-2,Ontario,"Ontario, Canada",50.000678,-86.000977
10.1117/12.2067584,South China Sea,South China Sea,15.0000001,114.9999999
10.1038/srep26561,Arctic,"Arctic, Town of Masonville, Delaware County, New York, United States",42.1856379,-75.4143448
10.1007/s11629-016-4101-5,Northern Pakistan,"Pakistan, Mwananyamala St, Majengo, Levolosi, Arusha, Arusha Municipal, Arusha, Northern Zone, 1440 ARUSHA, Tanzania",-3.3679794,36.6842415
10.1175/JHM-D-14-0167.1,Fraser River,"Fraser River, V2S 1A7, Canada",52.2528364,-122.2640101
10.1016/j.jhydrol.2019.124210,USA,United States,39.7837304,-100.445882
10.1038/s41561-019-0432-5,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.3390/rs70606576,China,中国,35.000074,104.999927
