pub_doi,is_open,pub_year
10.3390/rs13040780,TRUE,2021
10.3390/rs13040780,TRUE,2021
10.3390/rs13040780,TRUE,2021
10.1175/JAMC-D-13-0270.1,TRUE,
10.1029/2018JC014614,TRUE,2019
10.1029/2018JC014614,TRUE,2019
10.1029/2018JC014614,TRUE,2019
10.1029/2018JC014614,TRUE,2019
10.1029/2018JC014614,TRUE,2019
10.1029/2018JC014614,TRUE,2019
10.1029/2018JC014614,TRUE,2019
10.1029/2018JC014614,TRUE,2019
10.1029/2018JC014614,TRUE,2019
10.1029/2018JC014614,TRUE,2019
10.1029/2018JC014614,TRUE,2019
10.1029/2018JC014614,TRUE,2019
10.1029/2018JC014614,TRUE,2019
10.1029/2018JC014614,TRUE,2019
10.1038/s43247-021-00314-4,TRUE,
10.3390/ijgi10110778,TRUE,
10.3390/ijgi10110778,TRUE,
10.3390/ijgi10110778,TRUE,
10.1016/j.advwatres.2021.104093,TRUE,
10371/176088,TRUE,
10371/176088,TRUE,
10371/176088,TRUE,
10371/176088,TRUE,
10371/176088,TRUE,
10.1109/AGERS53903.2021.9617448,TRUE,
static/5d8a770ae5560358911d081f/t/6151ec83b021c549abfc8003/1632758916751/2021Spring_MA_Cincinnati%26CovingtonUrban_TechPaper_FD-final.pdf,TRUE,
static/5d8a770ae5560358911d081f/t/6151ec83b021c549abfc8003/1632758916751/2021Spring_MA_Cincinnati%26CovingtonUrban_TechPaper_FD-final.pdf,TRUE,
10.1029/2021GC009658,TRUE,
10.1029/2021GC009658,TRUE,
10.1029/2021GC009658,TRUE,
10.1029/2021GC009658,TRUE,
10.1016/j.agrformet.2021.108735,TRUE,
10.1016/j.rse.2021.112808,TRUE,
10.1016/j.rse.2021.112808,TRUE,
10.1016/j.rse.2021.112802,TRUE,2021
10.1186/s13717-021-00340-2,TRUE,
10.1016/j.rse.2021.112800,TRUE,
10.5194/acp-21-16645-2021,TRUE,
10.5194/acp-21-16645-2021,TRUE,
10.5194/acp-21-16645-2021,TRUE,
10.5194/acp-21-16645-2021,TRUE,
10.1175/BAMS-D-20-0243.1,TRUE,
10.1175/BAMS-D-20-0243.1,TRUE,
10.1175/BAMS-D-20-0243.1,TRUE,
10.1175/BAMS-D-20-0243.1,TRUE,
10.1175/BAMS-D-20-0243.1,TRUE,
10.1175/BAMS-D-20-0243.1,TRUE,
10.1175/BAMS-D-20-0243.1,TRUE,
10.1175/BAMS-D-20-0243.1,TRUE,
10.1175/BAMS-D-20-0243.1,TRUE,
10.1016/j.scitotenv.2021.151607,TRUE,
10.1016/j.scitotenv.2021.151607,TRUE,
10.1016/j.scitotenv.2021.151607,TRUE,
10.1016/j.scitotenv.2021.151607,TRUE,
10.1016/j.scitotenv.2021.151607,TRUE,
10.1016/j.scitotenv.2021.151607,TRUE,
10.1016/j.scitotenv.2021.151607,TRUE,
10.1016/j.sciaf.2021.e01020,TRUE,
10.1016/j.jhydrol.2021.127234,TRUE,
10.1016/j.jhydrol.2021.127234,TRUE,
10.1175/JCLI-D-21-0301.1,TRUE,
10.1175/JCLI-D-21-0301.1,TRUE,
10.1016/j.jenvman.2020.111712,TRUE,
10.1016/j.jenvman.2020.111712,TRUE,
10.5194/acp-19-7445-2019,TRUE,2019
10.5194/bg-14-2641-2017,TRUE,2016
10.1038/s41467-017-02771-y,TRUE,
10.1038/s41467-017-02771-y,TRUE,
10.1038/s41467-017-02771-y,TRUE,
10.1038/s41467-017-02771-y,TRUE,
10.1029/2011GL050834,TRUE,2012
10.3390/rs13050920,TRUE,
10.5194/acp-12-3219-2012,TRUE,2012
10.5194/acpd-11-28797-2011,TRUE,2011
10.3390/rs11050489,TRUE,2018
10.1111/1365-2656.13441,TRUE,
10.1029/2020JD033657,TRUE,2020
10.1029/2020JD033657,TRUE,2020
10.1029/2020JD033657,TRUE,2020
10.1029/2020JD033657,TRUE,2020
10.1175/MWR-D-20-0178.1,TRUE,2021
10.3390/w11061285,TRUE,2019
10.3390/w11061285,TRUE,2019
10.1029/2020MS002192,TRUE,2020
10.1029/2020MS002192,TRUE,2020
10.5194/hess-25-2663-2021,TRUE,
10.1016/j.rse.2007.03.031,TRUE,2008
10.1016/j.rse.2007.03.031,TRUE,2008
10.1109/tgrs.2015.2442999,TRUE,
10.1139/X08-024,TRUE,2008
10.1016/j.isprsjprs.2020.01.024,TRUE,
10.1080/2150704X.2021.1875144,TRUE,
10.3390/rs9070736,TRUE,2017
10.1080/01431161.2020.1826064,TRUE,
10.1016/j.csr.2015.07.006,TRUE,2015
10.1007/s00024-020-02541-w,TRUE,2020
10.5194/nhess-20-3439-2020,TRUE,
10.5194/nhess-20-3439-2020,TRUE,
10.5194/nhess-20-3439-2020,TRUE,
10.5194/nhess-20-3439-2020,TRUE,
10.1007/s00035-014-0124-0,TRUE,2014
10.1002/joc.6568,TRUE,
10.3390/atmos6111695,TRUE,
10.3390/atmos6111695,TRUE,
10.1016/j.rse.2014.03.004,TRUE,2014
10.1126/science.1212267,TRUE,2011
10.1186/s40663-021-00288-x,TRUE,2008
10.1186/s40663-021-00288-x,TRUE,2008
10.5194/amt-12-6489-2019,TRUE,2020
10.1016/j.envsoft.2016.07.005,TRUE,
10.3390/rs6021367,TRUE,2014
10.3390/rs10111831,TRUE,2018
10.3390/f10050363,TRUE,
10.1002/eco.1602,TRUE,2015
10.1016/j.jhydrol.2013.06.016,TRUE,2013
10.3390/rs13020275,TRUE,
10.1080/1755876X.2018.1443625,TRUE,
10.1155/2012/260515,TRUE,2012
10.3390/rs12244157,TRUE,
10.5194/bg-10-3313-2013,TRUE,2012
10.1016/j.rse.2020.112115,TRUE,
10.1016/j.rse.2020.112115,TRUE,
10.1016/j.rse.2020.112115,TRUE,
10.1016/j.rse.2020.112115,TRUE,
10.1016/j.rse.2020.112115,TRUE,
10.1016/j.rse.2020.112115,TRUE,
10.1016/j.rse.2020.112115,TRUE,
10.1038/srep22130,TRUE,2016
10.1016/j.jclepro.2016.03.108,TRUE,2016
10.1109/tgrs.2019.2923248,TRUE,
10.1109/tgrs.2019.2923248,TRUE,
10.1109/tgrs.2019.2923248,TRUE,
10.1109/access.2019.2940437,TRUE,2013
10.1016/j.envsoft.2017.03.009,TRUE,2017
10.5751/ES-09662-220418,TRUE,2017
10.3390/rs11222668,TRUE,2019
10.3390/rs11222668,TRUE,2019
10.3390/rs11222668,TRUE,2019
10.3390/rs11222668,TRUE,2019
10.1029/2019GL085134,TRUE,2019
10.5194/essd-13-281-2021,TRUE,
10.5194/essd-13-281-2021,TRUE,
10.5194/essd-13-281-2021,TRUE,
10.5194/essd-13-281-2021,TRUE,
10.1016/j.gexplo.2021.106811,TRUE,2021
10.1038/s41597-019-0243-y,TRUE,2019
10.2166/hydro.2021.115,TRUE,2021
10.2166/hydro.2021.115,TRUE,2021
10.2166/hydro.2021.115,TRUE,2021
10.1016/j.dib.2020.106565,TRUE,2020
10.5194/essd-11-881-2019,TRUE,2019
10.1038/s41597-021-00807-z,TRUE,2021
10.3390/rs6054061,TRUE,2014
10.1111/gcb.14885,TRUE,2019
10.1175/JHM-D-17-0004.1,TRUE,2017
10.3390/rs13030365,TRUE,2021
10.1175/JHM-D-14-0167.1,TRUE,2015
10.3390/app11041859,TRUE,2021
10.1016/j.agsy.2013.11.004,TRUE,2014
10.5194/hess-17-1871-2013,TRUE,2012
10.5194/hess-17-1871-2013,TRUE,2012
10.5194/hess-24-5859-2020,TRUE,2020
10.1016/j.rse.2018.04.053,TRUE,2018
10.1016/j.rse.2018.04.053,TRUE,2018
